Frame,Arm Reach,Cadence,Objects,Area Size
1,0.028689510352831234,,1,2070601.0
2,0.04547304888294372,1.0,0,0.0
3,0.026560190783723528,1.0,1356,120423.5
4,0.0038627194694853873,1.0,1789,89177.5
5,0.02632449082944797,1.0,1102,234308.0
6,0.04352076243445466,1.0,817,508396.5
7,0.07933529084664183,1.0,743,380674.5
8,0.05285256368317949,1.0,1216,285458.5
9,,1.0,1763,102500.0
10,,1.0,2851,82073.5
11,0.01987635327541089,3.0,3145,127996.0
12,0.07353180873570157,1.0,2745,138142.5
13,,1.0,2110,282911.5
14,0.039880421850356604,2.0,2529,297250.5
15,,2.0,2662,80551.5
16,,2.0,2922,46394.0
17,0.0752898134366851,3.0,3658,177193.5
18,,3.0,3123,208492.5
19,,3.0,3205,364047.0
20,,3.0,3398,236643.0
21,,3.0,3118,299063.5
22,,3.0,3446,320402.5
23,,3.0,3629,236331.5
24,0.04845635303102782,7.0,3891,223053.0
25,,7.0,3170,227277.0
26,,7.0,2413,284610.0
27,,7.0,2850,491741.5
28,,7.0,2355,632535.5
29,,7.0,2545,701905.5
30,,7.0,2562,493141.0
31,,7.0,2082,565118.0
32,,7.0,2548,551548.0
33,,7.0,2722,682804.5
34,,7.0,3140,747667.5
35,,7.0,3039,732043.0
36,,7.0,4114,469114.0
37,,7.0,4918,427552.5
38,,7.0,5399,417381.0
39,,7.0,5078,343865.0
40,,7.0,4771,395182.0
41,,7.0,3703,456053.0
42,,7.0,3743,577696.5
43,,7.0,3512,640033.5
44,,7.0,3812,685688.0
45,,7.0,3817,486449.5
46,,7.0,3817,481054.0
47,,7.0,3945,594126.0
48,,7.0,4568,470049.0
49,,7.0,4638,467742.5
50,,7.0,4495,354155.5
51,,7.0,3903,340429.0
52,,7.0,3268,395792.5
53,,7.0,3122,296586.5
54,,7.0,2677,355092.5
55,,7.0,3301,280181.5
56,,7.0,3263,568101.0
57,,7.0,3186,433694.0
58,,7.0,3550,930718.5
59,,7.0,2571,1096105.0
60,,7.0,3789,780787.5
61,,7.0,4262,450945.0
62,0.06304746606649324,38.0,3657,791015.0
63,0.05492556638870484,1.0,3466,813029.0
64,0.052680746924167465,1.0,3578,804725.0
65,0.05473913861724227,1.0,3915,780343.0
66,0.050487903690506944,1.0,4233,746431.0
67,0.02904977716092381,1.0,5144,521118.5
68,0.02342309475104613,1.0,5226,452516.0
69,0.011597969329443765,1.0,5098,438485.0
70,0.022622889207899125,1.0,5072,423740.0
71,0.025716039969392326,1.0,5493,380847.0
72,0.024371732456873317,1.0,5858,369297.5
73,0.02315242389810943,1.0,6328,290538.0
74,0.015026935606094248,1.0,6570,282379.5
75,0.01558427857634416,1.0,7025,241411.5
76,0.01836818558783467,1.0,7252,302017.0
77,0.011950145230005947,1.0,6976,333415.5
78,0.012021732737415807,1.0,7230,180237.0
79,0.00885645476600331,1.0,6897,371451.0
80,0.02856021935644768,1.0,6854,426980.0
81,0.03442798490675065,1.0,5051,589162.5
82,0.045397559005492485,1.0,4079,683358.0
83,0.040643188242943544,1.0,3306,780854.5
84,0.028382183419457262,1.0,2698,1104468.5
85,0.026610968202587126,1.0,2896,840932.0
86,0.02947909964087626,1.0,2850,1158258.0
87,0.036787669181380094,1.0,3024,1158435.5
88,0.043804420927424995,1.0,3004,859488.0
89,0.015341908105837061,1.0,3062,875323.5
90,0.0367384629931579,1.0,3021,872513.0
91,0.039010171140370545,1.0,4780,600410.5
92,0.02971466382824136,1.0,5436,575233.5
93,0.01738543662653336,1.0,6093,557513.0
94,0.014759163714325672,1.0,6930,521986.0
95,0.0140879556792568,1.0,7552,466002.5
96,0.005775088876243603,1.0,8061,428965.5
97,0.017705174166072073,1.0,7891,433627.5
98,0.019628102311390675,1.0,7742,330070.0
99,0.024316745188001233,1.0,7547,328386.0
100,0.04766214389444092,1.0,7584,332641.5
101,0.035273312583078316,1.0,7273,365084.5
102,0.02977388702451062,1.0,6876,397124.5
103,0.05431100374905435,1.0,6932,429888.0
104,0.04856356205391262,1.0,6367,500360.5
105,0.056820874204500826,1.0,6817,317629.0
106,0.06239790491204678,1.0,6512,300312.5
107,0.07013672644425246,1.0,5942,322685.5
108,0.0613484857198713,1.0,5604,302057.0
109,0.04133734714656318,1.0,5452,334763.5
110,0.023204318812215602,1.0,5667,324965.0
111,0.023674249345688257,1.0,5461,348876.5
112,0.004449245756016127,1.0,5312,368674.5
113,0.005109221844184288,1.0,5276,362183.0
114,0.004520324570815962,1.0,5464,358206.5
115,0.025727541150658294,1.0,5415,353340.5
116,0.048241127589083214,1.0,5316,377166.5
117,0.02419141688555684,1.0,4843,400184.5
118,0.018879801481820363,1.0,5242,412860.5
119,,1.0,5218,448089.5
120,,1.0,5038,506240.0
121,,1.0,4851,556190.5
122,,1.0,4941,366041.0
123,,1.0,4806,505485.0
124,,1.0,4391,626313.5
125,,1.0,4294,577192.0
126,,1.0,3737,359305.0
127,,1.0,3401,888099.5
128,,1.0,3869,769014.5
129,,1.0,4386,695113.0
130,,1.0,4200,796053.0
131,,1.0,4437,494235.5
132,,1.0,4283,617625.5
133,,1.0,4863,711432.0
134,,1.0,4495,572904.0
135,,1.0,4468,665292.0
136,,1.0,4160,641376.5
137,,1.0,3653,720708.5
138,0.02627439090269413,20.0,4007,683752.0
139,0.044734368792179395,1.0,3725,750493.5
140,0.07873979313031024,1.0,4001,676283.0
141,0.06652018114356209,1.0,3762,780052.0
142,0.04925314942676664,1.0,3558,811904.0
143,,1.0,3303,803854.0
144,,1.0,3744,685666.5
145,0.040676175268671164,3.0,3636,677704.0
146,0.02367761940158895,1.0,3574,657987.0
147,,1.0,3957,511616.0
148,0.015584759910607286,2.0,4278,642058.0
149,0.04532315271548347,1.0,4418,649480.0
150,0.03502912354404726,1.0,4722,693718.0
151,,1.0,5039,638576.0
152,0.11275964396038583,2.0,4969,802303.5
153,0.039688364538657976,1.0,5130,587994.5
154,0.025623111713978262,1.0,4370,620256.5
155,0.02637573710957202,1.0,3596,789741.0
156,0.03421494754451215,1.0,3346,556802.5
157,0.07495858077718925,1.0,5111,466168.5
158,,1.0,3666,794774.5
159,,1.0,2590,1053460.0
